said,21.037530811737554
case,12.865137530695028
time,10.095929899088123
executions,10.077820107213585
mr,9.902615493435691
capital punishment,9.775320590656285
just,7.911555309169307
like,7.875731745235997
government,7.743277278129479
judge,7.546269919810048
texas,7.305590258000421
supreme court,7.065976598922405
world,6.894251730217051
iran,6.559040316917582
countries,6.475847560571225
legal,6.365781829674917
told,6.139941095893215
country,6.0770840939884465
think,5.921561031397044
number,5.853450480286662
jury,5.789884462964175
says,5.774172687517347
including,5.7633320493369995
report,5.71332012594152
used,5.661405157364435
way,5.646571594690817
article,5.5441894312993725
killing,5.467741147389535
make,5.405934403613007
day,5.394017484833936
sentenced death,5.354700885655385
president,5.348742790986308
say,5.338846213104101
according,5.327020726451046
federal,5.279791367745005
death sentence,5.260773155454801
men,5.248037817088595
sentencing,5.223111041128783
does,5.215494044286459
women,5.165167636362655
victim,5.101424040792399
amnesty international,5.07166512553193
killed,5.002822306016551
society,4.974774127707856
process,4.9554261534312
defendants,4.897739626123457
american,4.89193746713526
united states,4.853117253939576
work,4.841675494966364
decision,4.81607454140897
innocence,4.784574199959218
national,4.772464700764195
courts,4.762554679416642
prosecutors,4.69885486005059
california,4.652410889621123
accused,4.65032493210531
given,4.646431597050677
didn,4.625644139036469
study,4.624649123476933
torture,4.597890464296531
long,4.553526145348335
based,4.541065330441104
office,4.520215933511884
lawyer,4.479875113347223
end,4.47552910836551
defense,4.405079058090045
released,4.387642442748023
guilty,4.371679851898635
want,4.294885601451892
research,4.221191559831914
believe,4.196414460909681
god,4.172457861352056
defendant,4.1497560470362
children,4.114368290068896
shall,4.109601760556463
fact,4.0894886406925846
death sentences,4.075661771929752
violence,4.074182455313491
age,4.063869940529353
going,4.05044018812568
black,4.048333589257977
child,4.042458402518131
question,4.040312252497155
percent,4.033324214253323
florida,4.0184185765493705
china,4.003464116778377
committee,3.9843707085866136
criminals,3.9769701497428755
university,3.9584400815199827
exonerated,3.941608143062713
judges,3.9401377761928837
called,3.9229635700055576
white,3.905927823533284
laws,3.8852747693176046
lawyers,3.8798337754978904
issue,3.8779338178024747
kill,3.8694549171615695
likely,3.861868620143762
year old,3.854297472649489
today,3.783758976251768
home,3.769014196663215
group,3.767470132532076
america,3.7637554164755693
officials,3.7393770925634633
rate,3.72906249664658
really,3.6867793022282975
free,3.680319811523777
need,3.6798348265497918
house,3.676395648551253
trump,3.659657615876751
second,3.616335872068636
away,3.560048978916767
days,3.5542732525784344
good,3.5417537637675056
social,3.530632386807683
security,3.52478491211608
wrong,3.5113889530321227
judicial,3.471650121253801
data,3.470878588757925
held,3.466923879563643
read,3.465340685809809
ve,3.430642941961374
story,3.4226744972919336
practice,3.4210878445391955
face,3.4179424112601966
testimony,3.3975164347259734
individuals,3.3758493385354558
risk,3.3679063166791896
known,3.357648612540922
criminal justice,3.3567607217501307
set,3.337922237285988
prisoner,3.335873612429581
campaign,3.327139310641754
got,3.324695104370775
example,3.3205619853650714
arrested,3.3138151099554083
news,3.306234651769966
history,3.2951169308271857
executioner,3.2942057025850784
majority,3.289040767848352
order,3.2833281037797466
lethal injection,3.280613337761099
following,3.279814522499081
wrote,3.2718477031000472
governor,3.2593823858115365
die,3.2591950215356404
prosecution,3.247167101343743
book,3.2400688585345847
review,3.2373514315566587
carried,3.224868396802914
past,3.21708875023646
statement,3.2150387764233845
woman,3.2114508373769226
media,3.205420215285985
medical,3.2004278248059586
money,3.198791900729193
father,3.189008027123769
war,3.18362463802002
constitution,3.1830572959330836
americans,3.1758737133205615
spent,3.1742737419230322
help,3.1736206706440586
despite,3.153343103339732
condemned,3.1532310673653723
lives,3.140886521492115
power,3.11823729345513
months,3.1166074963407593
alabama,3.109052394811859
taken,3.1086548723157796
young,3.103749711788194
violent,3.101572404701064
race,3.1005638124870445
reported,3.0968748915301956
release,3.093628380225957
march,3.0897981746260523
opinion,3.089560642338731
john,3.082656738999289
came,3.0780538937648467
prisons,3.075634945469404
special,3.0717243551603497
left,3.0654965631571516
means,3.0611148972424957
charges,3.028301659210425
military,3.018311748736177
trials,3.0118603583938857
received,3.0104174049338788
georgia,2.9982813432419473
brother,2.9962347370749285
change,2.988423736223819
week,2.9870299737501322
having,2.9867201946435387
better,2.9863638014828346
reason,2.9826720327820104
body,2.972924955549318
far,2.972748401130297
community,2.9646781690853152
april,2.95524728299319
possible,2.9538220419101267
point,2.9484017171434753
doesn,2.944691965234283
eye eye,2.934154654762195
poor,2.934079959624621
things,2.933630148338405
certain,2.9253063385080598
witness,2.9230539153568325
al,2.9212110181938544
education,2.9209388921669315
million,2.915289526522138
thompson,2.9088908799608855
groups,2.9082723901573004
actually,2.907503342949077
mother,2.887635850167209
let,2.8821365171863396
taking,2.870721823374419
program,2.86747612554597
virginia,2.8672713347591907
professor,2.865057738662333
pakistan,2.862490936495691
come,2.859971470791062
blood,2.853328699628137
offender,2.8501113940426652
section,2.845730950736139
execute,2.840733281036773
persons,2.8403149241523873
thought,2.8386020026363057
counsel,2.838332144149037
director,2.8372391792839817
policy,2.833666824430795
city,2.833617301744275
issues,2.831056066134049
experts,2.826800846558845
care,2.825670948426752
hours,2.8220808245248605
detention,2.8219142367117094
murders,2.7971770203986503
individual,2.7960967261697203
author,2.781885289055483
look,2.7814439722483573
cell,2.7748765244392244
son,2.77217037184194
result,2.763954244568732
decades,2.7599687698402406
hope,2.751352907462818
reasons,2.742278498997689
rates,2.707408997306861
punishments,2.6972747559816392
instead,2.6955576848544425
added,2.6931163000562504
jurors,2.6929517993162393
studies,2.6869831780110323
nearly,2.6862835344705247
pain,2.6785714745957367
attorneys,2.6767607468035712
film,2.675579602024234
head,2.6753627263290514
guilt,2.672275428552095
making,2.6710096455040553
doing,2.6707102887370753
matter,2.670031089822353
died,2.6635007946937086
june,2.6613541468155937
offences,2.661333665274311
little,2.6434063251276636
egypt,2.64167233780529
imposed,2.6268032029607604
went,2.624106150837126
tell,2.6216710923841435
official,2.6169112729007074
important,2.6166342095760546
oklahoma,2.615394431975633
saying,2.6100869171396894
different,2.5860235164611094
circumstances,2.5855790491413773
racial,2.5800939278480466
deluna,2.579939383168397
anti,2.5794061270922266
islamic,2.573447166950279
programs,2.5733727329876332
cost,2.569320127521492
smith,2.5679845566653676
indonesia,2.565457092792109
moratorium,2.561217575924524
effective,2.559955562066968
allowed,2.5569190434480076
charged,2.551004152908748
religious,2.5437319744930624
conditions,2.5436903273195024
half,2.541888781898659
provide,2.539026550572594
job,2.5342599946081363
life prison,2.531456158184898
press,2.5262631205018904
real,2.5217337912759925
murderer,2.5181842006135664
plea,2.5154211642821385
force,2.5126276945713535
lot,2.512038432822538
non,2.5084182715452648
wanted,2.5023329426149994
saudi arabia,2.496592043085489
october,2.494484715524403
investigation,2.490971322907044
live,2.4905988814302327
kind,2.4904249097951916
available,2.4898034011179453
thing,2.489383621755269
district attorney,2.4858851002765947
longer,2.485550897795244
sent,2.4790617711530523
involved,2.475752656885829
application,2.4685304562398045
especially,2.4650227877674116
washington,2.461903509775291
use death penalty,2.455883020586902
significant,2.451861209798
project,2.448376409833644
role,2.438410565625509
nation,2.43808129707597
published,2.4347086095957797
using,2.4339591591018532
working,2.431308117443644
subject,2.428786130498011
common,2.426546639991013
thursday,2.4229825099224396
tried,2.4183935067281452
freedom,2.414771483242538
view,2.4143954095393503
january,2.414360238418441
july,2.4137824266840853
feel,2.4062868509454343
witnesses,2.4054317601764423
hard,2.3990635835008276
life parole,2.399014249018107
month,2.3987208043974997
recently,2.3978084484240414
forensic,2.3951992997842013
homicide,2.3922848721393417
level,2.3888548449519833
japan,2.386961537924492
considered,2.385443366552654
light,2.385039422932976
final,2.378034162576051
best,2.376705388461052
false,2.376366888560834
rule,2.3714157304993755
evil,2.367435728885499
population,2.3630687167641127
south,2.36086172207522
jones,2.360175915462347
words,2.3577764103949415
denied,2.3550818918636582
argument,2.3534069791726395
early,2.3515505255281184
chance,2.3515079243966164
position,2.347535513390553
present,2.343617340363344
european,2.3418645524433184
moral,2.3380278098752503
bucklew,2.3371712119458943
clear,2.33485229467938
trying,2.3340621443079805
period,2.3329316243087406
commission,2.3323596452856328
seen,2.3313713078015517
constitutional,2.330428982949858
costs,2.3262864757059596
small,2.3260899914596846
jail,2.3233824753900154
continued,2.321098124434011
protocol,2.3134533870026197
member,2.3132776317292745
prevent,2.3114870548963005
opposition,2.3071610247285212
board,2.303639970736707
december,2.2951444861079024
led,2.2946747370973304
church,2.2936409968385223
life imprisonment,2.2922922960983354
confessions,2.2900920330958408
minister,2.2793956004683538
wife,2.275306431874528
bring,2.2740487818745776
began,2.2713732545166216
innocent people,2.2693145673460764
email,2.2656012927982183
able,2.2600276156730774
access,2.2511151820459423
night,2.248168233489859
james,2.247948249208356
support death penalty,2.246474513464155
respect,2.2454129042816295
suffering,2.2395072553561843
consider,2.2359723910940033
murdered,2.2306627834764217
killers,2.2269230330689425
earlier,2.2235262936412377
dr,2.2227412593960643
sex,2.2209454841738294
questions,2.2189316240276593
claim,2.2187776349576427
delay,2.217681938419474
ll,2.2173743347548855
form,2.2142125598355316
bad,2.2026374787366847
com,2.2023254258875813
similar,2.2020523468182063
reports,2.200411250809219
hearing,2.1998245615241605
iraq,2.199405921103729
chief,2.1976119686731335
finally,2.1972454644573864
opponents,2.195074832230003
shot,2.193721305398814
applied,2.1930243260944
list,2.192721557739896
offenses,2.183906233631589
seven,2.1822547726650563
outside,2.1732624789007673
verdict,2.172411283302641
standards,2.1705235591596077
factors,2.1688674806872044
brown,2.1684678377542324
abuse,2.166761541472514
current,2.1639182395907772
issued,2.162522855224745
law enforcement,2.1516318991051557
death row inmates,2.1472849609099067
currently,2.1440770357797
serving,2.143613235181391
corruption,2.1422555214720096
efforts,2.14176407244668
remains,2.1384624544225512
results,2.134004310740982
terrorism,2.1326611348814524
noted,2.1324977796876468
saw,2.131055723619149
osgood,2.130469551350938
confession,2.1256201632937857
science,2.124610498893771
violation,2.124455351574414
arrest,2.1200291031450167
allow,2.118165522938403
brain,2.115698243908311
abu jamal,2.115227035015387
murderers,2.1140798201862143
unfair,2.1121630261939566
makes,2.1104144783299374
activists,2.1097704362753738
room,2.107611325883974
won,2.106012659652451
required,2.105994992190407
receive,2.105925691045799
hand,2.105597493087141
continue,2.1052875688272374
large,2.1002426953974416
argued,2.0969510876149577
course,2.0937003462156705
february,2.0924236151752
irreversible,2.0896852418703227
exonerations,2.087914809254463
british,2.08746842079467
failed,2.0837983033918563
canada,2.0825368919466305
arbitrary,2.0793192618988914
clinton,2.0764245564802835
ask,2.0762267495126414
september,2.074698754695075
include,2.074529810871601
revenge,2.0699335706555564
decided,2.068446887743415
mass,2.064703037127738
resources,2.063270822870751
series,2.0623454797911447
car,2.0545857324667653
future,2.054351573808688
date,2.05424249710893
suspect,2.0534400538407342
great,2.0512890976164977
shawkan,2.046844614795555
action,2.045228196959109
ensure,2.041048717832653
stay,2.0409706047104343
attorney general,2.040286425200534
sexual,2.0371195150094263
local,2.031498562245923
open,2.0309305929379744
august,2.030023197281308
problem,2.029725681519131
happened,2.0287051421761553
happen,2.028418719213889
scheduled,2.0283029432646287
forced,2.0235478775666915
regarding,2.022768272182252
nature,2.0212761502482963
experience,2.0199901980116204
filed,2.0189958565684183
worked,2.0186994495448767
heard,2.01833110107138
ruling,2.0178449626504866
physical,2.0166394712993645
yes,2.0130029720760527
situation,2.0112646171901942
stop,2.010705524716547
mind,2.010322275271682
decisions,2.0089615928733893
cause,2.0087820460523456
forces,2.0055106195588097
living,2.004136664934832
pierrepoint,2.0037382547092397
misconduct,2.003378807157039
try,2.002290796559371
dead,1.9982563771801443
severe,1.99756512348299
lead,1.9969051519118026
services,1.9964317089551193
personal,1.9956889534232658
offense,1.9944696416187233
showed,1.9892031849480527
note,1.9870642894265271
passed,1.985367861122199
systems,1.984115372029764
ms,1.982671232259835
single,1.982173759318288
gross,1.9820854379404271
probably,1.9809781972231988
true,1.9756105320559179
november,1.975593381499042
concerns,1.9749640049946124
org,1.9745326752355465
letter,1.9738242143501974
protect,1.972287034874167
provided,1.972154037740233
term,1.9714016813850532
mercy,1.9702423416013541
reform,1.969389267353469
worst,1.9683584408994217
retribution,1.9658395226729013
convention,1.9614437120035184
particularly,1.9614252866088666
statistics,1.959045770387579
sense,1.9590403737483046
unconstitutional,1.9580182678691278
gas,1.950937782002268
debate,1.9497258728662459
terms,1.949643270653563
team,1.9478093856420682
particular,1.9474839604687515
record,1.9468341780572722
ones,1.9457526693334681
san,1.945325067379098
justices,1.9437781613674512
wasn,1.9424108067193435
heinous,1.9386979026754527
turned,1.9366360232847504
foreign,1.9358780187337699
thousands,1.9358575443173056
public prosecutor,1.9346742244810649
understand,1.9320777044346245
idea,1.9305782013995436
higher,1.9299975427850904
major,1.9265741426519438
problems,1.925927555894809
ali,1.9256831550528655
minutes,1.9250483416733248
written,1.9208548396446832
attack,1.9190610786260642
pennsylvania,1.9186168872810554
counties,1.9174485951502085
armed,1.9174043099702844
getting,1.9146626149025774
line,1.9140358083283235
served,1.9119862858920034
governments,1.9115020723835814
psychological,1.9103884780472502
executive,1.9088618039513425
compared,1.9061697507764368
ultimate,1.9059450750262819
clemency,1.9008977863721837
knew,1.9008011917095409
started,1.900440722188267
robert,1.8986572601915959
comes,1.8984516532109077
administration,1.8929752163314524
juveniles,1.892181754633972
simply,1.8918531508692533
johnson,1.890788579978857
admitted,1.8891086037054075
basis,1.8850443526603802
claims,1.8842687474438105
control,1.881051295941496
impose,1.8784694742984058
acts,1.8776909271291338
dominique,1.8762756421319744
rest,1.8756955033476617
madison,1.873657635134771
address,1.8687839535010182
citizens,1.8647670309567341
century,1.8633852821123418
strong,1.860958474551138
carry,1.8607259580388693
ray,1.8560219009890588
isn,1.8557884885095834
procedure,1.8544713080376192
testified,1.854094887726483
believed,1.8522855241645462
doubt,1.8450177086626551
convicts,1.8443822840022537
short,1.8436974272823812
lockett,1.8423886536868652
death penalty cases,1.841431711311112
sure,1.8398909498226153
stories,1.8395955491677651
husband,1.830359949593436
ban,1.8278534590222606
lack,1.8277293719254932
solitary confinement,1.8261034328769445
page,1.8259053550859248
juries,1.8257891425861177
soon,1.8246601578866937
hear,1.819665349717651
wrongful convictions,1.819076419830246
decide,1.8189338131295185
lost,1.817217557755633
oppose,1.8147250226591207
responsible,1.814411810345825
hakamada,1.8123941545662159
fight,1.810524154787112
reportedly,1.809629521286123
total,1.806793395777344
cooper,1.806004798781786
girl,1.8052874916936656
union,1.8047178533730444
rules,1.8037945881588064
conservative,1.8006778503294207
hanging,1.7974280537201337
heart,1.7961597190050897
supporters,1.7961183832662466
facing,1.796023434244254
arguments,1.7921184100260443
views,1.7897616385881825
uk,1.7890861694068174
talk,1.787578837129831
service,1.786658600468587
friend,1.7863293245274445
key,1.7861503154887794
carlos,1.783616238415434
caused,1.781945773893704
robbery,1.781046511837437
singapore,1.7791276070883124
expressed,1.7743615743216183
needs,1.7738311252266212
request,1.773249527862191
hands,1.772536206240138
imprisoned,1.7722086803047283
vengeance,1.7710860105281556
principle,1.768922245733753
purpose,1.768479145283651
pope,1.7681979199338596
deterrence,1.7681576645699386
closure,1.7671911733961294
suicide,1.7657637646426696
tooth,1.765417642795193
discretion,1.7630248451707562
chamber,1.7629236927196128
incarceration,1.7614584166341238
organization,1.7605954803942236
organizations,1.760321021956043
previous,1.7529768553525447
willingham,1.7516001546721325
ultimately,1.7511589597143846
attempt,1.7502507236027367
jesus,1.7499760329389575
interview,1.7491942472910944
independent,1.7487227737456346
value,1.7482439066064956
basic,1.7455775697518863
class,1.7449057900260145
charles,1.7429244269870616
website,1.7413463883127163
overturned,1.7403917355889431
necessary,1.740375337420416
international law,1.7399445453669646
ill,1.7364409443530882
dignity,1.7352333016626837
parliament,1.734735479860177
ministry,1.7341348809686945
changed,1.7330354695764882
brought,1.7315705875486715
raised,1.7310998277240102
offence,1.7287785876409072
legislation,1.72777952319672
staff,1.725987407081237
davis,1.725916154988239
error,1.7245843595829242
petition,1.724334942287646
start,1.7225386608509143
fundamental,1.7223543122582348
sister,1.7221379733924511
mean,1.7189559114477182
concerned,1.7169308791306968
association,1.7117847975229896
client,1.7114363172114675
iraqi,1.711033497184177
chinese,1.7106177752676075
india,1.7105535053267926
specific,1.7098371536364103
violations,1.708342205628626
near,1.7078682800019036
ordered,1.70694371483796
favor,1.706664928106237
calling,1.7033637360138933
commuted,1.7002958879328758
looked,1.6998312191539589
opposed,1.6992975575567904
alleged,1.698452527244342
save,1.6976426721538456
art,1.6970527438311334
late,1.6943563274793965
african,1.6938537130522422
responsibility,1.6937404255619073
malaysia,1.6924689008879985
state party,1.6923667388632644
remained,1.6905106506578624
daughter,1.689617791082237
shows,1.6877438173034423
big,1.6868506167017723
friends,1.6868161902565562
congress,1.685883672145447
behavior,1.6856642083016282
rehabilitation,1.6844993415496405
gave,1.6825188419063777
hundreds,1.6816414067851595
additional,1.6800271131944804
immediately,1.6799496529010387
follow,1.6794156784754857
monday,1.6787352304610672
difficult,1.6781368600775877
granted,1.6773192344019348
included,1.6764193155019975
reduce,1.6746508438813363
authority,1.6734871262479845
shooting,1.6732293450531017
cops,1.672097733565515
remain,1.671464829104698
compensation,1.668940014066035
analysis,1.6676171880038304
weeks,1.6643944275848401
united nations,1.6624251291523908
gary,1.6614648800312346
original,1.6598527122161966
contact,1.6595885857318926
egyptian,1.6566794801854563
close,1.6543663005087226
stated,1.654335838020434
williams,1.654249969889551
needed,1.6538336752351093
assistance,1.653374832308591
researchers,1.6531582042016189
deter,1.6519249801230214
safety,1.6510142097803726
moment,1.6506965405020708
maybe,1.6478824695905279
provisions,1.6436530484585399
takes,1.642224205725592
circuit,1.640157016008662
ohio,1.6389631337731272
moore,1.6381846732274117
life sentence,1.6369204456858861
modern,1.6366324919656898
requires,1.635414542592728
panahi,1.6335827532875358
movement,1.6313667077142924
pay,1.631279264070347
write,1.6309956757030306
provides,1.6299699342169527
entire,1.628052661558056
vote,1.6257684042015221
fear,1.6244637186249071
claimed,1.6237626690940714
response,1.6235325701945484
potential,1.6218692321945707
concern,1.6189565585917371
argue,1.618107893000154
faith,1.6174705270324325
facts,1.616866535423074
answer,1.6150523822325786
looking,1.6120381541546986
limited,1.6114732992079261
david,1.6110389400231806
hold,1.6098013491666152
inside,1.6047463550226593
plan,1.6032265706961013
suffer,1.603087359469719
attacks,1.6026003430235172
run,1.601658249744117
ways,1.6015928325960476
account,1.600325935908571
eventually,1.5981221699290986
carrying,1.5968767751916224
students,1.5967727727437218
prove,1.5963518055244017
appointed,1.5949547240366673
appropriate,1.5939867938174848
authors,1.5937314678999654
morning,1.5936935670786265
love,1.5913335516862077
felt,1.5910594546425818
judgment,1.5899430563487198
mccleskey,1.5881220697230611
meeting,1.5857780336239735
threat,1.5845073259862614
certainly,1.5827873912413295
generally,1.5824557809683102
parents,1.581777990553888
believes,1.5808629820572317
mandatory death penalty,1.5805682327037942
hair,1.5795172498279062
communities,1.5794007748144927
convict,1.5777668257253532
minority,1.577075250665415
proceedings,1.5738742341107177
mistakes,1.572955153426122
bodies,1.5728601303367455
agree,1.5699274729322823
visit,1.5697727289084102
reasonable,1.569661529085573
christian,1.5682652020482566
usually,1.567530748285977
punished,1.5668865565007752
people executed,1.5667472752356768
comment,1.5665067513670825
records,1.566223062889858
global,1.5655561400897124
methods,1.5645240230226443
mistake,1.5643029859691362
killings,1.5630818200625
prevention,1.5619615993461435
abortion,1.5607956916672399
revealed,1.5585523066905154
capital cases,1.5561912480446891
truth,1.5552823176608181
wrongfully,1.5550980905720182
word,1.555047016982477
learn,1.5546713297606876
charge,1.5520834817578613
parties,1.5519512825406556
impact,1.5495644839001828
illinois,1.5482883483406837
central,1.5478911536606723
murdering,1.5478077921307993
michael,1.547457358599144
met,1.545624811234336
committing,1.5453017889683605
serve,1.5448979794702056
incarcerated,1.5426871432448908
presented,1.542306032082659
jurisdiction,1.541538219033087
reforms,1.540992394540139
belief,1.5406096840188133
average,1.540588896578263
hare,1.5402276523441378
seeking,1.5381986483427506
protection,1.5351908484402321
wednesday,1.5342556135804288
named,1.5342555566921383
years ago,1.533196182371995
leading,1.5303306228990368
missouri,1.5283554175103866
return,1.5270686373582323
illegal,1.5257398955237194
agency,1.5245754562975176
aclu,1.5217455221743132
faces,1.521195207169608
self,1.5203461219503116
muslim,1.5193365680971445
test,1.5178420706395106
writing,1.517108817643396
loved,1.5156699286303552
friday,1.5155040917985887
event,1.5150344074259057
duterte,1.5148896448989906
